,plant_english_name,plant_infos,plant_water_need,plant_light_need,plant_fertilizer_need,plant_defficulty_level,plant_water_Needs,plant_sunlight_needs,plant_toxicity,plant_humidity,plant_soil,plant_dormancy,plant_flower,plant_growth_pattern,plant_common_issues,plant_yellow_leaves
81,Majesty Palm,"The majesty palm earns its name, growing over 100 feet tall in its native Madagascar. There they grow along riverbanks and lagoons, but indoors they bring an air of the tropics to any space. Though popular as a houseplant, they are considered near threatened in the wild with only 900 individuals remaining. 🌴","Majesty Palm needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Majesty Palm love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Majesty Palm is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Majesty Palm prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Majesty Palm requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Majesty Palm is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Majesty Palm doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Majesty Palm does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Majesty Palm to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
                        
                        Majesty Palm produces flowers in the wild, but does not flower when kept as houseplants.
                        
                    ","
                        
                        Majesty Palm grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Majesty Palm, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
82,Purple Shamrocks,"Purple Shamrocks is a super popular houseplant 🌿 that needs regular watering to thrive. They do best in long-lasting, direct light ☀️ and should be less than 1 foot from a window.","Purple Shamrocks needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Purple Shamrocks love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Purple Shamrocks prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Purple Shamrocks requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Purple Shamrocks is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,"
                        
                        Purple Shamrocks does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Purple Shamrocks is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,
83,Song of India,"Dracaena reflexa is a popular houseplant choice, as they are fairly low maintenance and have bright, colorful foliage. In their native habitat of southeast Africa these usually compact houseplants grow enormously, reaching heights of over 20 feet. Communities in Madagascar use this plant as a reported cure for a variety of ailments from malaria to dysentery. 🤒","Song of India needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Song of India can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Song of India is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Song of India thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Song of India can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Song of India is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Song of India prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Song of India does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Song of India to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Song of India bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Song of India grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Song of India, since they are very sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
84,Golden Torch,,"Golden Torch needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Golden Torch love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Golden Torch thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Golden Torch requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Golden Torch prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Golden Torch is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Golden Torch to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
85,Jelly Beans,,"Jelly Beans needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Jelly Beans love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Jelly Beans thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Jelly Beans requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Jelly Beans prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Jelly Beans is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Jelly Beans to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
86,Kentia Palm,"The Kentia Palm is a popular houseplant in temperate climates. They are well suited to containers and have a track record for surviving low light, dust, central heating, rough handling, drought, and neglect. Due to their large size, they make a good focal point in an interior or exterior landscape.","Kentia Palm needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Kentia Palm may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Kentia Palm is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Kentia Palm prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Kentia Palm may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Kentia Palm is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ",,"
                        
                        Kentia Palm does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Kentia Palm grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
87,String of Bananas,"String of Bananas is a super popular houseplant 🌿 that needs regular watering to thrive. They do best in long-lasting, direct light ☀️ and should be less than 1 foot from a window.","String of Bananas needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","String of Bananas love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        String of Bananas prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        String of Bananas requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        String of Bananas prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        String of Bananas is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for String of Bananas to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
88,Triostar Stromanthe,"These colorful plants, native to Brazil, have become a staple houseplant around the world. Their green leaves boast brightly colored patches of deep red and pale pink. Be sure to give them plenty of sunlight, as the leaves of plants grown in low light will begin to lose their variegation and revert to green over time. Although they rarely flower indoors, their bright fuschia flowers are pollinated by hummingbirds in the wild! 🌺","Triostar Stromanthe needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Triostar Stromanthe may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Triostar Stromanthe is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Triostar Stromanthe prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Triostar Stromanthe may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Triostar Stromanthe is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Triostar Stromanthe doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Triostar Stromanthe does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Triostar Stromanthe to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Triostar Stromanthe bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Triostar Stromanthe is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Triostar Stromanthe, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
89,Pincushion Peperomia,,"Pincushion Peperomia needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Pincushion Peperomia may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Pincushion Peperomia prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Pincushion Peperomia may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Pincushion Peperomia doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Pincushion Peperomia does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Pincushion Peperomia to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
90,Bird of Paradise,"Bird of Paradise Flower is a clumping tropical plant native to South Africa. It is best known for its large unusual flowers that resemble a bird in flight. Grow indoors in a well-lit, sunny spot in well-drained soil. Water plants freely and fertilize regularly in spring and summer but keep drier in winter.","Bird of Paradise needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Bird of Paradise may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Bird of Paradise is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Bird of Paradise prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Bird of Paradise may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Bird of Paradise is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Bird of Paradise doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Bird of Paradise does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Bird of Paradise to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,"
                        
                        Bird of Paradise is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,
91,Split Leaf Philodendron,Split Leaf Philodendron is a super popular houseplant 🌿 that is easy to grow and needs regular watering to thrive. They do best in moderate sunlight 🌤 and should be less than 6 feet from a window.,"Split Leaf Philodendron needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Split Leaf Philodendron can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Split Leaf Philodendron is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Split Leaf Philodendron prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Split Leaf Philodendron can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Split Leaf Philodendron is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,"
                        
                        Split Leaf Philodendron does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Split Leaf Philodendron will branch off as it grows. To encourage branching, pinch off the newest growth at the tip and the stem will branch off into two.
                        
                    ",,
92,Droophead Tufted Airplant,Scarlet Star is a tropical epiphytic bromeliad native to rainforest habitats in tropical Americas and the West Indies. It has a basal rosette of green leaves with a flower consisting of red or orange bracts and many small white flowers inside it.,"Droophead Tufted Airplant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Droophead Tufted Airplant love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Droophead Tufted Airplant is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Droophead Tufted Airplant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Droophead Tufted Airplant requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Droophead Tufted Airplant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Droophead Tufted Airplant is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,
93,Heart of Jesus,,"Heart of Jesus needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Heart of Jesus may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Heart of Jesus is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Heart of Jesus prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Heart of Jesus may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Heart of Jesus is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,"
                        
                        Heart of Jesus does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Heart of Jesus grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
94,Rattlesnake Plant,Rattlesnake Plant is a super popular houseplant 🌿 that is a fun challenge to grow and needs regular watering to thrive. They do best in abundant sunlight ☀ and should be less than 3 feet from a window.,"Rattlesnake Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Rattlesnake Plant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Rattlesnake Plant can be challenging to care for, according to some plant parents. Check out the reviews down below to learn from their experiences!
                        
                    ","
                        
                        Rattlesnake Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Rattlesnake Plant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Rattlesnake Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Rattlesnake Plant is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,
95,Tradescantia Nanouk,Tradescantia Nanouk is a popular houseplant 🌿 that needs regular watering to thrive. They do best in abundant sunlight ☀ and should be less than 3 feet from a window.,"Tradescantia Nanouk needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Tradescantia Nanouk may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Tradescantia Nanouk prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Tradescantia Nanouk may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Tradescantia Nanouk doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Tradescantia Nanouk does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Tradescantia Nanouk to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
96,String Of Buttons,"String Of Buttons is a super popular houseplant 🌿 that needs very little water to thrive. They do best in long-lasting, direct light ☀️ and should be less than 1 foot from a window.","String Of Buttons needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","String Of Buttons love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        String Of Buttons thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        String Of Buttons requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        String Of Buttons prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        String Of Buttons is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for String Of Buttons to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
97,Rex Begonia,,"Rex Begonia needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Rex Begonia may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Rex Begonia is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Rex Begonia prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Rex Begonia may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Rex Begonia doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Rex Begonia does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Rex Begonia does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!",,,,
98,Pothos Vine N' Joy,Pothos Vine N' Joy is a super popular houseplant 🌿 that needs regular watering to thrive. They do best in moderate sunlight 🌤 and should be less than 6 feet from a window.,"Pothos Vine N' Joy needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Pothos Vine N' Joy can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Pothos Vine N' Joy prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Pothos Vine N' Joy can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Pothos Vine N' Joy doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Pothos Vine N' Joy does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Pothos Vine N' Joy to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
